rule,file,line,col,severity,message,suggestion
R04,library/des.c,494,4,high,Return value of cryptographic function 'mbedtls_des_setkey' is unchecked.,Check the return value for errors (e.g. decapsulation failure) to prevent security gaps.
R04,library/des.c,495,4,high,Return value of cryptographic function 'mbedtls_des_setkey' is unchecked.,Check the return value for errors (e.g. decapsulation failure) to prevent security gaps.
R01,library/des.c,518,13,high,Hardcoded key array size (96 bytes) for 'sk' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,library/des.c,532,13,high,Hardcoded key array size (96 bytes) for 'sk' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,library/des.c,540,34,high,Hardcoded key array size (96 bytes) for 'esk' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,library/des.c,541,34,high,Hardcoded key array size (96 bytes) for 'dsk' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,library/des.c,542,45,high,Hardcoded key array size (24 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R04,library/des.c,546,4,high,Return value of cryptographic function 'mbedtls_des_setkey' is unchecked.,Check the return value for errors (e.g. decapsulation failure) to prevent security gaps.
R04,library/des.c,547,4,high,Return value of cryptographic function 'mbedtls_des_setkey' is unchecked.,Check the return value for errors (e.g. decapsulation failure) to prevent security gaps.
R04,library/des.c,548,4,high,Return value of cryptographic function 'mbedtls_des_setkey' is unchecked.,Check the return value for errors (e.g. decapsulation failure) to prevent security gaps.
R01,library/des.c,568,13,high,Hardcoded key array size (96 bytes) for 'sk' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,library/des.c,582,13,high,Hardcoded key array size (96 bytes) for 'sk' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R02,library/des.c,640,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/des.c,738,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/des.c,862,8,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/des.c,905,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/des.c,944,8,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/des.c,976,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/des.c,1008,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,118,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/dhm.c,152,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,158,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,212,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,294,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,315,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,320,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,417,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,421,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,496,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,535,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/dhm.c,689,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,198,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/ecdh.c,254,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/ecdh.c,302,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,307,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,353,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/ecdh.c,396,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,403,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/ecdh.c,425,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,430,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,450,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,454,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,457,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,464,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,472,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/ecdh.c,519,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,524,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,551,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/ecdh.c,595,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/ecdh.c,637,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,643,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdh.c,679,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/ecdsa.c,258,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdsa.c,281,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdsa.c,284,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R07,library/ecdsa.c,453,0,medium,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
R02,library/ecdsa.c,428,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdsa.c,505,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdsa.c,518,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdsa.c,747,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecdsa.c,752,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R07,library/ecp.c,1644,0,medium,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
R02,library/ecp.c,2972,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecp.c,2977,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R01,library/ecp.c,3220,0,medium,Hardcoded key/buffer size macro 'ECP_CURVE25519_KEY_SIZE' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,library/ecp.c,3221,0,medium,Hardcoded key/buffer size macro 'ECP_CURVE448_KEY_SIZE' value (56) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R02,library/ecp_curves.c,4725,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R02,library/ecp_curves.c,5156,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecp_curves.c,5163,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/ecp_curves_new.c,4767,4,medium,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,Implement crypto agility by adding ML-KEM or ML-DSA cases.
R07,library/ecp_curves_new.c,4911,0,medium,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
R07,library/ecp_curves_new.c,5071,0,medium,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
R07,library/ecp_curves_new.c,5124,0,medium,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
R07,library/ecp_curves_new.c,5204,0,medium,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
